iter	Passed	Remaining
661	31474	16070
662	31514	16018
663	31563	15972
664	31612	15924
665	31669	15882
666	31716	15834
667	31768	15789
668	31825	15746
669	31874	15699
670	31925	15653
671	31976	15607
672	32020	15558
673	32067	15510
674	32117	15464
675	32172	15420
676	32225	15374
677	32275	15328
678	32329	15283
679	32368	15232
680	32426	15189
681	32477	15143
682	32525	15096
683	32572	15048
684	32617	14999
685	32665	14951
686	32713	14904
687	32754	14853
688	32799	14805
689	32844	14756
690	32887	14706
691	32934	14658
692	32979	14609
693	33019	14558
694	33070	14512
695	33118	14465
696	33165	14417
697	33211	14369
698	33256	14320
699	33296	14270
700	33345	14223
701	33404	14180
702	33457	14135
703	33511	14090
704	33559	14042
705	33611	13996
706	33660	13949
707	33698	13898
708	33741	13848
709	33788	13800
710	33834	13752
711	33876	13702
712	33924	13655
713	33973	13608
714	34021	13560
715	34066	13512
716	34114	13465
717	34161	13417
718	34208	13369
719	34259	13323
720	34310	13276
721	34361	13230
722	34418	13186
723	34463	13138
724	34505	13088
725	34560	13043
726	34606	12995
727	34653	12947
728	34700	12899
729	34745	12851
730	34791	12802
731	34831	12752
732	34873	12703
733	34918	12654
734	34963	12605
735	35012	12558
736	35060	12511
737	35104	12462
738	35148	12413
739	35196	12366
740	35240	12317
741	35285	12269
742	35332	12221
743	35378	12173
744	35438	12130
745	35484	12081
746	35532	12034
747	35577	11986
748	35627	11939
749	35680	11893
750	35727	11845
751	35774	11797
752	35822	11750
753	35872	11703
754	35919	11655
755	35967	11608
756	36017	11561
757	36067	11514
758	36115	11467
759	36161	11419
760	36205	11370
761	36267	11327
762	36325	11283
763	36374	11236
764	36436	11192
765	36507	11152
766	36553	11104
767	36599	11056
768	36649	11008
769	36695	10960
770	36740	10912
771	36791	10865
772	36835	10817
773	36889	10771
774	36941	10724
775	36995	10679
776	37048	10632
777	37103	10587
778	37155	10540
779	37202	10492
780	37248	10444
781	37291	10395
782	37337	10347
783	37387	10300
784	37434	10252
785	37493	10208
786	37545	10161
787	37590	10113
788	37632	10063
789	37676	10015
790	37723	9967
791	37770	9919
792	37817	9871
793	37867	9824
794	37913	9776
795	37962	9729
796	38010	9681
797	38060	9634
798	38104	9585
799	38153	9538
800	38205	9491
801	38256	9444
802	38308	9398
803	38357	9350
804	38404	9302
805	38459	9256
806	38525	9213
807	38574	9166
808	38625	9119
809	38675	9072
810	38727	9025
811	38775	8977
812	38823	8929
813	38873	8882
814	38925	8835
815	38979	8789
816	39031	8742
817	39084	8695
